"GeneSymbol","Name","NCBI_Entrez_ID","HGNC_ID","Ensembl_Gene","Ensembl_Nucleotide","Ensembl_Protein","RefSeq_Nucleotide","RefSeq_Protein","Database","Uniprot_ID"
"CENPP","centromere protein P",401541,"HGNC:32933","ENSG00000188312.14","ENST00000375587.8","ENSP00000364737.3","NM_001012267.3","NP_001012267.1","MANE Select","Q6IPU0;X6R9C8;A0A087WTF1"
"CENPQ","centromere protein Q",55166,"HGNC:21347","ENSG00000031691.7","ENST00000335783.4","ENSP00000337289.2","NM_018132.4","NP_060602.2","MANE Select","Q7L2Z9"
"CENPS","centromere protein S",378708,"HGNC:23163","ENSG00000175279.22","ENST00000309048.8","ENSP00000308583.2","NM_199294.3","NP_954988.1","MANE Select","Q8N2Z9;A0A0U1RQL5;K7ESB0"
"CENPT","centromere protein T",80152,"HGNC:25787","ENSG00000102901.13","ENST00000562787.6","ENSP00000457810.1","NM_025082.4","NP_079358.3","MANE Select","Q96BT3;H3BQS6;H3BQJ0;H3BQ71;H3BUW2;H3BTR4;I3L4F8;H3BN05;H3BMP6;H3BTS2"
"CENPU","centromere protein U",79682,"HGNC:21348","ENSG00000151725.12","ENST00000281453.10","ENSP00000281453.5","NM_024629.4","NP_078905.2","MANE Select","Q09GN1;Q71F23;D6R9S4"
"CENPV","centromere protein V",201161,"HGNC:29920","ENSG00000166582.11","ENST00000299736.5","ENSP00000299736.4","NM_181716.3","NP_859067.2","MANE Select","A0A0M3HER2"
"CENPVL1","centromere protein V like 1",389857,"HGNC:31851","ENSG00000223591.5","ENST00000602548.2","ENSP00000489273.1","NM_001355277.1","NP_001342206.1","MANE Select","A0A0U1RR11"
"CENPVL2","centromere protein V like 2",441495,"HGNC:43879","ENSG00000283093.1","ENST00000634648.1","ENSP00000489328.1","NM_001355278.1","NP_001342207.1","MANE Select","P0DPI3"
"CENPVL3","centromere protein V like 3",347549,"HGNC:43880","ENSG00000224109.4","ENST00000417339.4","ENSP00000489547.2","NM_001355276.2","NP_001342205.2","MANE Select","A0A0U1RRI6"
"CENPW","centromere protein W",387103,"HGNC:21488","ENSG00000203760.9","ENST00000368328.5","ENSP00000357311.4","NM_001012507.4","NP_001012525.1","MANE Select","Q5EE01;A0A0A0MRK5"
"CENPX","centromere protein X",201254,"HGNC:11422","ENSG00000169689.15","ENST00000392359.8","ENSP00000376168.3","NM_001271006.2","NP_001257935.1","MANE Select","A8MT69;J3QRS1;J3QR01"
"CEP104","centrosomal protein 104",9731,"HGNC:24866","ENSG00000116198.14","ENST00000378230.8","ENSP00000367476.3","NM_014704.4","NP_055519.1","MANE Select","O60308;A0A6Q8PG89;A0A6Q8PFR4;A0A6Q8PGB3;A0A6Q8PHR0;A0A6Q8PH69;A0A6Q8PHE1;A0A6Q8PGQ7;A0A6Q8PGF0;A0A6Q8PH38;Q5SR27;J3QLL3;A0A6Q8PH14"
"CEP112","centrosomal protein 112",201134,"HGNC:28514","ENSG00000154240.17","ENST00000535342.7","ENSP00000442784.2","NM_001199165.4","NP_001186094.1","MANE Select","Q8N8E3;F5GYE8;J3QSA5;J3QQV3;J3KSN4"
"CEP120","centrosomal protein 120",153241,"HGNC:26690","ENSG00000168944.17","ENST00000306467.10","ENSP00000303058.6","NM_001375405.1","NP_001362334.1","MANE Select","Q8N960;A0A6Q8PG38;A0A6Q8PFG1;D6R8Z4;A0A6Q8PG66;A0A6Q8PH95;A0A6Q8PHT7;A0A6Q8PGD1;A0A6Q8PF64;A0A6Q8PF83"
"CEP126","centrosomal protein 126",57562,"HGNC:29264","ENSG00000110318.15","ENST00000263468.13","ENSP00000263468.8","NM_020802.4","NP_065853.3","MANE Select","A0A590UJH0;A0A590UK33"
"CEP128","centrosomal protein 128",145508,"HGNC:20359","ENSG00000100629.17","ENST00000555265.6","ENSP00000451162.1","NM_152446.5","NP_689659.2","MANE Select","Q6ZU80;Q86TS1;G3V3U2;G3V3F4;G3V4J9;H0YJD7"
"CEP131","centrosomal protein 131",22994,"HGNC:29511","ENSG00000141577.14","ENST00000450824.7","ENSP00000393583.2","NM_014984.4","NP_055799.2","MANE Select","Q9UPN4;I3L2J8;I3L2X7"
"CEP135","centrosomal protein 135",9662,"HGNC:29086","ENSG00000174799.11","ENST00000257287.5","ENSP00000257287.3","NM_025009.5","NP_079285.2","MANE Select","Q66GS9"
"CEP152","centrosomal protein 152",22995,"HGNC:29298","ENSG00000103995.14","ENST00000380950.7","ENSP00000370337.2","NM_001194998.2","NP_001181927.1","MANE Select","O94986;A0A075B719;H0YN91;H0YMG1"
"CEP162","centrosomal protein 162",22832,"HGNC:21107","ENSG00000135315.12","ENST00000403245.8","ENSP00000385215.3","NM_014895.4","NP_055710.2","MANE Select","Q5TB80;F6V2J0"
"CEP164","centrosomal protein 164",22897,"HGNC:29182","ENSG00000110274.16","ENST00000278935.8","ENSP00000278935.3","NM_014956.5","NP_055771.4","MANE Select","Q9UPV0;E9PLS8;E9PI05;E9PIM2;E9PR73"
"CEP170","centrosomal protein 170",9859,"HGNC:28920","ENSG00000143702.16","ENST00000366542.6","ENSP00000355500.1","NM_014812.3","NP_055627.2","MANE Select","Q5SW79;E5RIH6;E5RJT5;E5RG47;E5RGW7;H0Y4T4;E7EMW0;E5RFU8;E7EWM2"
"CEP170B","centrosomal protein 170B",283638,"HGNC:20362","ENSG00000099814.17","ENST00000414716.8","ENSP00000404151.2","NM_001112726.3","NP_001106197.1","MANE Select",NA
"CEP19","centrosomal protein 19",84984,"HGNC:28209","ENSG00000174007.9","ENST00000409690.5","ENSP00000387209.4","NM_032898.5","NP_116287.3","MANE Select","Q96LK0;A8MX07"
"CEP192","centrosomal protein 192",55125,"HGNC:25515","ENSG00000101639.19","ENST00000506447.5","ENSP00000427550.1","NM_032142.4","NP_115518.3","MANE Select","Q8TEP8;V9GYM2;H0Y966;K7EQZ8;A0A0A0MR42;K7ELX0"
"CEP20","centrosomal protein 20",123811,"HGNC:26435","ENSG00000133393.13","ENST00000255759.11","ENSP00000255759.6","NM_144600.4","NP_653201.1","MANE Select","Q96NB1;I3L269;I3NI25;I3L4V2;I3L0U4;I3L2N4;I3L0K3;I3L3N6"
"CEP250","centrosomal protein 250",11190,"HGNC:1859","ENSG00000126001.16","ENST00000397527.6","ENSP00000380661.1","NM_007186.6","NP_009117.2","MANE Select","Q9BV73;Q5JWS6;A6PVI9;Q5JWS5;A6PVJ0;E9PHT2;E7ETF9;A0A087WZ34;H7C0P0;H7C0D6"
"CEP290","centrosomal protein 290",80184,"HGNC:29021","ENSG00000198707.17","ENST00000552810.6","ENSP00000448012.1","NM_025114.4","NP_079390.3","MANE Select","A0A5F9ZHV7;O15078;F8VS29;F8W097;A0A6Q8PG44;A0A6Q8PEZ6;A0A6Q8PGB1;A0A6Q8PGP6;J3KNF5;A0A0A0MS86;A0A6Q8PH78;A0A6Q8PH24;A0A6Q8PGA1;A0A6Q8PFZ5;A0A6Q8PGQ4;A0A5F9ZHU6;A0A6Q8PGC3;S4R322"
"CEP295","centrosomal protein 295",85459,"HGNC:29366","ENSG00000166004.15","ENST00000325212.11","ENSP00000316681.6","NM_033395.2","NP_203753.1","MANE Select","Q9C0D2;E9PJY3;E9PM20;E9PJG3"
"CEP295NL","CEP295 N-terminal like",100653515,"HGNC:44659","ENSG00000178404.10","ENST00000322630.3","ENSP00000312767.2","NM_001243540.2","NP_001230469.1","MANE Select","Q96MC4"
"CEP350","centrosomal protein 350",9857,"HGNC:24238","ENSG00000135837.16","ENST00000367607.8","ENSP00000356579.3","NM_014810.5","NP_055625.4","MANE Select","Q5VT06"
"CEP41","centrosomal protein 41",95681,"HGNC:12370","ENSG00000106477.20","ENST00000223208.10","ENSP00000223208.4","NM_018718.3","NP_061188.1","MANE Select","A0A6Q8PH03;Q9BYV8;C9J6R3;A0A6Q8PH93;C9IZ34;A0A6Q8PFB5;C9JXA0;F8WAV3;A0A6Q8PF12;A0A6Q8PG60;C9JCX6;A0A6Q8PGX0;A0A6Q8PFZ2;A0A6Q8PHU1;A0A6Q8PH12;A0A7I2SYM4;A0A7I2PK71;A0A6Q8PEV5;A0A6Q8PGR4;A0A6Q8PFB1"
"CEP43","centrosomal protein 43",11116,"HGNC:17012","ENSG00000213066.13","ENST00000366847.9","ENSP00000355812.3","NM_007045.4","NP_008976.1","MANE Select","O95684;A0A087WV25"
"CEP44","centrosomal protein 44",80817,"HGNC:29356","ENSG00000164118.13","ENST00000503780.6","ENSP00000423153.1","NM_001040157.3","NP_001035247.1","MANE Select","D6RBX1;Q9C0F1;D6RGX6;D6RC25"
"CEP55","centrosomal protein 55",55165,"HGNC:1161","ENSG00000138180.16","ENST00000371485.8","ENSP00000360540.3","NM_018131.5","NP_060601.4","MANE Select","Q53EZ4"
"CEP57","centrosomal protein 57",9702,"HGNC:30794","ENSG00000166037.11","ENST00000325542.10","ENSP00000317902.5","NM_014679.5","NP_055494.2","MANE Select","Q86XR8;F5H1B0;F5GXS6;F5H6R3;F5H0C6;F5H7J4;F5GYW0;H0YGT4;F5GZ93"
"CEP57L1","centrosomal protein 57 like 1",285753,"HGNC:21561","ENSG00000183137.15","ENST00000517392.6","ENSP00000427844.1","NM_001271852.3","NP_001258781.1","MANE Select","Q8IYX8;G3V140;Q6P2R3;E5RIV2;E5RG82;E5RFY4;E5RIK8;H0YB52;E5RJH1;E5RG21;E5RK85;E5RI49;E5RJP9;E5RHF8;E5RH23;E5RGU5;E5RGP2;E5RJG4;Q5T6A0"
"CEP63","centrosomal protein 63",80254,"HGNC:25815","ENSG00000182923.20","ENST00000675561.1","ENSP00000502085.1","NM_001353108.3","NP_001340037.1","MANE Select","A0A804HKQ7;Q96MT8;A0A804HIX3;A0A804HKM0;A0A804HJT2;A0A804HJI5;A0A804HJF1;H0YAL1;A0A804HKK0;A0A804HI22;A0A804HKH7;A0A804HKR1;D6RAY6;H0Y900;A0A804HL17;H0YAE6;A0A3B3IT05;A0A804HJ73;A0A804HKF0;A0A804HK67;A0A804HJF9;A0A804HJP1;A0A804HI78;A0A804HJ63;A0A804HHU4"
"CEP68","centrosomal protein 68",23177,"HGNC:29076","ENSG00000011523.14","ENST00000377990.7","ENSP00000367229.2","NM_015147.3","NP_055962.2","MANE Select","Q76N32"
"CEP70","centrosomal protein 70",80321,"HGNC:29972","ENSG00000114107.9","ENST00000264982.8","ENSP00000264982.3","NM_024491.4","NP_077817.2","MANE Select","B7Z2D2;Q8NHQ1;C9JZ04;C9J0F4;C9J966;C9J710;H7C4Y6"
"CEP72","centrosomal protein 72",55722,"HGNC:25547","ENSG00000112877.8","ENST00000264935.6","ENSP00000264935.5","NM_018140.4","NP_060610.2","MANE Select","Q9P209;A0A0G2JR44"
"CEP76","centrosomal protein 76",79959,"HGNC:25727","ENSG00000101624.11","ENST00000262127.7","ENSP00000262127.2","NM_024899.4","NP_079175.2","MANE Select","B4DP81;Q8TAP6;K7EII2;K7EIV8;K7EP44"
"CEP78","centrosomal protein 78",84131,"HGNC:25740","ENSG00000148019.14","ENST00000643273.2","ENSP00000496423.2","NM_001330691.3","NP_001317620.1","MANE Select","A0A2R8Y7M8;Q5JTW2;A0A2R8Y7A4;A0A2R8Y589;A0A2R8Y432;A0A2R8Y7U5;A0A2R8YCP0;A0A2R8Y5W6;A0A2R8YFB0;A8MST6;A0A2U3TZI9;A0A2R8Y4C1"
"CEP83","centrosomal protein 83",51134,"HGNC:17966","ENSG00000173588.16","ENST00000397809.10","ENSP00000380911.4","NM_016122.3","NP_057206.2","MANE Select","Q9Y592;H0YHH5;F8VYN8;A0A338VFC5"
"CEP85","centrosomal protein 85",64793,"HGNC:25309","ENSG00000130695.16","ENST00000451429.8","ENSP00000417002.3","NM_001319944.2","NP_001306873.1","MANE Select","Q6P2H3"
"CEP85L","centrosomal protein 85 like",387119,"HGNC:21638","ENSG00000111860.14","ENST00000368491.8","ENSP00000357477.3","NM_001042475.3","NP_001035940.1","MANE Select","Q5SZL2;A2A3P3"
"CEP89","centrosomal protein 89",84902,"HGNC:25907","ENSG00000121289.18","ENST00000305768.10","ENSP00000306105.4","NM_032816.5","NP_116205.3","MANE Select","Q96ST8;A0A0C4DGP8;K7EPU8;K7EJF0;A0A087WXS8"
"CEP95","centrosomal protein 95",90799,"HGNC:25141","ENSG00000258890.8","ENST00000556440.7","ENSP00000450461.2","NM_138363.3","NP_612372.1","MANE Select","Q96GE4;B7ZAE2;H0YJW6;K7ENV0;J3KS50;J3KRW3"
"CEP97","centrosomal protein 97",79598,"HGNC:26244","ENSG00000182504.11","ENST00000341893.8","ENSP00000342510.3","NM_024548.4","NP_078824.2","MANE Select","Q8IW35;E9PG22;F8WF91"
"CEPT1","choline/ethanolamine phosphotransferase 1",10390,"HGNC:24289","ENSG00000134255.16","ENST00000357172.9","ENSP00000349696.4","NM_006090.5","NP_006081.1","MANE Select","Q9Y6K0;A1PL14"
"CER1","cerberus 1, DAN family BMP antagonist",9350,"HGNC:1862","ENSG00000147869.5","ENST00000380911.4","ENSP00000370297.3","NM_005454.3","NP_005445.1","MANE Select","O95813"
"CERCAM","cerebral endothelial cell adhesion molecule",51148,"HGNC:23723","ENSG00000167123.20","ENST00000372838.9","ENSP00000361929.4","NM_016174.5","NP_057258.3","MANE Select","Q5T4B2;B7ZBS8;X6RL83;B7ZBT0;B7ZBS9"
"CERK","ceramide kinase",64781,"HGNC:19256","ENSG00000100422.14","ENST00000216264.13","ENSP00000216264.8","NM_022766.6","NP_073603.2","MANE Select","Q8TCT0;A0A024R4U8;F8WFD8"
"CERKL","ceramide kinase like",375298,"HGNC:21699","ENSG00000188452.15","ENST00000410087.8","ENSP00000386725.3","NM_201548.5","NP_963842.1","MANE Select","G0XYE7;Q49MI3;A0A804HIX5"
"CERS1","ceramide synthase 1",10715,"HGNC:14253","ENSG00000223802.9","ENST00000623882.4","ENSP00000485308.1","NM_021267.5","NP_067090.1","MANE Select","P27544;Q5XG75"
"CERS2","ceramide synthase 2",29956,"HGNC:14076","ENSG00000143418.20","ENST00000368954.10","ENSP00000357950.5","NM_022075.5","NP_071358.1","MANE Select","Q96G23;H0YNU7;Q5SZE3;Q5SZE2;Q5SZE4;Q5SZE1;H0YKH6"
"CERS3","ceramide synthase 3",204219,"HGNC:23752","ENSG00000154227.14","ENST00000679737.1","ENSP00000506641.1","NM_001378789.1","NP_001365718.1","MANE Select","Q8IU89;H0YN05;H0YMG6"
"CERS4","ceramide synthase 4",79603,"HGNC:23747","ENSG00000090661.12","ENST00000251363.10","ENSP00000251363.5","NM_024552.3","NP_078828.2","MANE Select","Q9HA82;H0YKR4;H0YNR6;H0YMY6;H0YN04;H0YKS3;H0YLY3;H0YKC9"
"CERS5","ceramide synthase 5",91012,"HGNC:23749","ENSG00000139624.14","ENST00000317551.12","ENSP00000325485.6","NM_147190.5","NP_671723.1","MANE Select","Q8N5B7;B4DQR7;Q49AQ3;F8VXY1;F8VSK7;F8W1N7;F8VQZ6;F8VY42;F8W1Z3;H0YI10;F8W1K4"
"CERS6","ceramide synthase 6",253782,"HGNC:23826","ENSG00000172292.15","ENST00000305747.11","ENSP00000306579.6","NM_203463.3","NP_982288.1","MANE Select","Q6ZMG9"
"CERT1","ceramide transporter 1",10087,"HGNC:2205","ENSG00000113163.19","ENST00000643780.2","ENSP00000495760.1","NM_001379029.1","NP_001365958.1","MANE Select","A0A2R8Y5S9;Q9Y5P4;A0A024RAJ5;A0A2R8YEK8;A0A2R8YFI2;A0A2R8Y7Q9;A0A2R8Y7C5;A0A2R8YE18;A0A2R8Y773;A0A2R8Y5H3;A0A2R8YCI0;A0A2R8YEA4;A0A2R8YFA1"
"CES1","carboxylesterase 1",1066,"HGNC:1863","ENSG00000198848.13","ENST00000360526.8","ENSP00000353720.4","NM_001025195.2","NP_001020366.1","MANE Select","P23141;H3BQR4;H3BQV8;A0A140TA63"
"CES2","carboxylesterase 2",8824,"HGNC:1864","ENSG00000172831.14","ENST00000317091.10","ENSP00000317842.5","NM_001365405.1","NP_001352334.1","MANE Select","O00748;H3BUN5;J3QLP1"
"CES3","carboxylesterase 3",23491,"HGNC:1865","ENSG00000172828.13","ENST00000303334.9","ENSP00000304782.4","NM_024922.6","NP_079198.2","MANE Select","A0A0C4DFY7;Q6UWW8;H3BRE5;H3BUA3"
"CES4A","carboxylesterase 4A",283848,"HGNC:26741","ENSG00000172824.17","ENST00000648724.3","ENSP00000497868.2","NM_001364782.1","NP_001351711.1","MANE Select","Q5XG92;F5GZV6;A0A0C4DGH1"
"CES5A","carboxylesterase 5A",221223,"HGNC:26459","ENSG00000159398.16","ENST00000290567.14","ENSP00000290567.9","NM_001143685.2","NP_001137157.1","MANE Select","Q6NT32;I3NI11;F5H0J7;E5RFG9;A0A0J9YW16;V9HWK3;A0A140TA78;A0A140TA61;A0A140TA72;A0A140TA65;A0A140TA75;A0A140TA60"
"CETN1","centrin 1",1068,"HGNC:1866","ENSG00000177143.5","ENST00000327228.5","ENSP00000319052.3","NM_004066.3","NP_004057.1","MANE Select","Q12798"
"CETN2","centrin 2",1069,"HGNC:1867","ENSG00000147400.10","ENST00000370277.5","ENSP00000359300.3","NM_004344.3","NP_004335.1","MANE Select","P41208"
"CETN3","centrin 3",1070,"HGNC:1868","ENSG00000153140.9","ENST00000283122.8","ENSP00000283122.3","NM_004365.4","NP_004356.2","MANE Select","O15182;E5RK82;E5RFM2;E5RJF8;H0YBL5;E5RH67"
"CETP","cholesteryl ester transfer protein",1071,"HGNC:1869","ENSG00000087237.12","ENST00000200676.8","ENSP00000200676.3","NM_000078.3","NP_000069.2","MANE Select","P11597;A0A0S2Z3F6;A0A0S2Z3I8;H3BRJ9"
"CFAP100","cilia and flagella associated protein 100",348807,"HGNC:26842","ENSG00000163885.12","ENST00000352312.6","ENSP00000344749.1","NM_182628.3","NP_872434.2","MANE Select","Q494V2;E9PQV5"
"CFAP107","cilia and flagella associated protein 107",93190,"HGNC:28567","ENSG00000157330.10","ENST00000614859.5","ENSP00000477802.1","NM_152290.4","NP_689503.3","MANE Select","Q8N1D5;Q5VUY5"
"CFAP119","cilia and flagella associated protein 119",90835,"HGNC:28078","ENSG00000196118.12","ENST00000543610.6","ENSP00000437532.1","NM_001014979.3","NP_001014979.2","MANE Select","A1A4V9;F5H7A8;H3BTQ9"
"CFAP126","cilia and flagella associated protein 126",257177,"HGNC:32325","ENSG00000188931.4","ENST00000367974.2","ENSP00000356951.1","NM_001013625.4","NP_001013647.2","MANE Select","Q5VTH2"
"CFAP141","cilia and flagella associated protein 141",388701,"HGNC:32305","ENSG00000163263.7","ENST00000368525.4","ENSP00000357511.3","NM_001010979.3","NP_001010979.1","MANE Select","Q5VU69"
"CFAP157","cilia and flagella associated protein 157",286207,"HGNC:27843","ENSG00000160401.15","ENST00000373295.7","ENSP00000362392.1","NM_001012502.3","NP_001012520.2","MANE Select","Q5JU67"
"CFAP161","cilia and flagella associated protein 161",161502,"HGNC:26782","ENSG00000156206.14","ENST00000286732.5","ENSP00000286732.4","NM_173528.4","NP_775799.2","MANE Select","Q6P656;H0YM05;H0YNS7"
"CFAP20","cilia and flagella associated protein 20",29105,"HGNC:29523","ENSG00000070761.8","ENST00000262498.8","ENSP00000262498.3","NM_013242.3","NP_037374.1","MANE Select","Q9Y6A4;H3BPA3"
"CFAP206","cilia and flagella associated protein 206",154313,"HGNC:21405","ENSG00000272514.6","ENST00000369562.9","ENSP00000358575.4","NM_001031743.3","NP_001026913.1","MANE Select","Q8IYR0;D6RBZ4;D6R9L9"
"CFAP20DC","CFAP20 domain containing",200844,"HGNC:24763","ENSG00000163689.21","ENST00000482387.7","ENSP00000417122.2","NM_001394063.1","NP_001380992.1","MANE Select","F5H9F7;H7C5H9;F8WF72;C9IYJ1;H7C4Q4;C9J3M8;A0A2U3TZK7"
"CFAP210","cilia and flagella associated protein 210",129881,"HGNC:25064","ENSG00000154479.13","ENST00000447353.6","ENSP00000391504.1","NM_001085447.2","NP_001078916.1","MANE Select","Q0VFZ6;C9J9F8;C9JQ25"
"CFAP221","cilia and flagella associated protein 221",200373,"HGNC:33720","ENSG00000163075.13","ENST00000413369.8","ENSP00000393222.2","NM_001271049.2","NP_001257978.2","MANE Select","Q4G0U5;H7BZW0;M0QWZ6;M0QZN4;X6RIU2;M0R1R6;M0QZV1"
"CFAP251","cilia and flagella associated protein 251",144406,"HGNC:28506","ENSG00000158023.10","ENST00000288912.9","ENSP00000288912.4","NM_144668.6","NP_653269.3","MANE Select","Q8TBY9"
"CFAP276","cilia and flagella associated protein 276",127003,"HGNC:32331","ENSG00000179902.13","ENST00000369948.8","ENSP00000358964.3","NM_001245025.3","NP_001231954.1","MANE Select","Q5T5A4;E9PRR4;E9PLX1;B1ALJ5"
"CFAP298","cilia and flagella associated protein 298",56683,"HGNC:1301","ENSG00000159079.19","ENST00000290155.8","ENSP00000290155.3","NM_021254.4","NP_067077.1","MANE Select","P57076;D3DSE6;Q9NX33;C9J818;C9JX57"
"CFAP299","cilia and flagella associated protein 299",255119,"HGNC:28554","ENSG00000197826.12","ENST00000358105.8","ENSP00000350818.3","NM_152770.3","NP_689983.2","MANE Select","Q6V702;G5E9Y8;E7EPK2;A0A087WX50"
"CFAP300","cilia and flagella associated protein 300",85016,"HGNC:28188","ENSG00000137691.13","ENST00000434758.7","ENSP00000414390.2","NM_032930.3","NP_116319.2","MANE Select","Q9BRQ4;E9PM77"
"CFAP36","cilia and flagella associated protein 36",112942,"HGNC:30540","ENSG00000163001.12","ENST00000349456.9","ENSP00000295117.4","NM_080667.7","NP_542398.3","MANE Select","Q96G28;B5MCA1;B5MC35;B5MD16"
"CFAP410","cilia and flagella associated protein 410",755,"HGNC:1260","ENSG00000160226.16","ENST00000339818.9","ENSP00000344566.4","NM_004928.3","NP_004919.1","MANE Select","O43822"
"CFAP418","cilia and flagella associated protein 418",157657,"HGNC:27232","ENSG00000156172.6","ENST00000286688.6","ENSP00000286688.5","NM_177965.4","NP_808880.1","MANE Select","Q96NL8"
"CFAP43","cilia and flagella associated protein 43",80217,"HGNC:26684","ENSG00000197748.13","ENST00000357060.8","ENSP00000349568.3","NM_025145.7","NP_079421.5","MANE Select","Q8NDM7;A0A0C4DFU9;Q5TA05;Q5TA04"
"CFAP44","cilia and flagella associated protein 44",55779,"HGNC:25631","ENSG00000206530.11","ENST00000393845.9","ENSP00000377428.2","NM_001164496.2","NP_001157968.1","MANE Select","Q96MT7;F8WEX0;H7C512;C9K0A4"
"CFAP45","cilia and flagella associated protein 45",25790,"HGNC:17229","ENSG00000213085.10","ENST00000368099.9","ENSP00000357079.4","NM_012337.3","NP_036469.2","MANE Select","Q9UL16;A0A087X182;A0A087WUV1"
"CFAP46","cilia and flagella associated protein 46",54777,"HGNC:25247","ENSG00000171811.14","ENST00000368586.10","ENSP00000357575.4","NM_001200049.3","NP_001186978.2","MANE Select","Q8IYW2"
"CFAP47","cilia and flagella associated protein 47",286464,"HGNC:26708","ENSG00000165164.14","ENST00000378653.8","ENSP00000367922.5","NM_001304548.2","NP_001291477.1","MANE Select","Q6ZTR5;A0A182DWE8"
"CFAP52","cilia and flagella associated protein 52",146845,"HGNC:16053","ENSG00000166596.15","ENST00000352665.10","ENSP00000339449.5","NM_145054.5","NP_659491.4","MANE Select","Q8N1V2;I3L2G9;V9GY13;I3L237;A0A096LNH3"
"CFAP53","cilia and flagella associated protein 53",220136,"HGNC:26530","ENSG00000172361.6","ENST00000398545.5","ENSP00000381553.3","NM_145020.5","NP_659457.2","MANE Select","Q96M91"
"CFAP54","cilia and flagella associated protein 54",144535,"HGNC:26456","ENSG00000188596.11","ENST00000524981.9","ENSP00000431759.5","NM_001306084.2","NP_001293013.1","MANE Select","Q96N23;A0A0A0MTQ3"
"CFAP57","cilia and flagella associated protein 57",149465,"HGNC:26485","ENSG00000243710.8","ENST00000372492.9","ENSP00000361570.4","NM_001378189.1","NP_001365118.1","MANE Select","E9PP89;Q96MR6;A0A087WVY5;E9PRV3"
"CFAP58","cilia and flagella associated protein 58",159686,"HGNC:26676","ENSG00000120051.15","ENST00000369704.8","ENSP00000358718.3","NM_001008723.2","NP_001008723.1","MANE Select","Q5T655;Q9H4Y4"
"CFAP61","cilia and flagella associated protein 61",26074,"HGNC:15872","ENSG00000089101.19","ENST00000245957.10","ENSP00000245957.5","NM_015585.4","NP_056400.3","MANE Select","Q8NHU2;A0A6I8PRQ8;C9J610;F8WDF5;C9JA66;C9JMV0;C9JHE8;A0A6I8PIN3;F8W6E2"
"CFAP65","cilia and flagella associated protein 65",255101,"HGNC:25325","ENSG00000181378.14","ENST00000341552.10","ENSP00000340776.5","NM_194302.4","NP_919278.2","MANE Select","Q6ZU64;Q49A14;C9JLP9;C9JVA0;C9JIV0"
"CFAP69","cilia and flagella associated protein 69",79846,"HGNC:26107","ENSG00000105792.19","ENST00000389297.8","ENSP00000373948.4","NM_001039706.3","NP_001034795.2","MANE Select","A5D8W1;F8WBX7;H7BZV2;H7C002"
"CFAP70","cilia and flagella associated protein 70",118491,"HGNC:30726","ENSG00000156042.19","ENST00000355577.9","ENSP00000347781.4","NM_001367801.1","NP_001354730.1","MANE Select","X6RID7;A0A0A0MS55;X6R507;A0A8I5KZ08;A0A8J8YUN0;A0A087WSW1"
"CFAP73","cilia and flagella associated protein 73",387885,"HGNC:37100","ENSG00000186710.12","ENST00000335621.11","ENSP00000333915.6","NM_001144872.3","NP_001138344.1","MANE Select","A6NFT4"
"CFAP74","cilia and flagella associated protein 74",85452,"HGNC:29368","ENSG00000142609.20","ENST00000682832.2","ENSP00000508276.2","NM_001304360.2","NP_001291289.1","MANE Select","Q9C0B2;A0A804HLA9;Q5T2D8"
"CFAP77","cilia and flagella associated protein 77",389799,"HGNC:33776","ENSG00000188523.9","ENST00000393216.3","ENSP00000376909.2","NM_001282957.2","NP_001269886.1","MANE Select","Q6ZQR2;A2A393"
"CFAP91","cilia and flagella associated protein 91",89876,"HGNC:24010","ENSG00000183833.16","ENST00000273390.9","ENSP00000273390.5","NM_033364.4","NP_203528.3","MANE Select","Q7Z4T9;F8WEV1;F8WC74;H7C5C8;F8WF10"
"CFAP92","cilia and flagella associated protein 92 (putative)",57501,"HGNC:29231","ENSG00000114656.13","ENST00000645291.3","ENSP00000496592.2","NM_001394090.1","NP_001381019.1","MANE Select","Q9ULG3;D6RH05;A0A590UJZ5;A0A2R8YFM9"
"CFAP95","cilia and flagella associated protein 95",138255,"HGNC:31422","ENSG00000204711.9","ENST00000377197.8","ENSP00000366402.3","NM_001010940.3","NP_001010940.1","MANE Select","Q5VTT2;E9PIA3"
"CFAP97","cilia and flagella associated protein 97",57587,"HGNC:29276","ENSG00000164323.15","ENST00000458385.7","ENSP00000409964.2","NM_020827.3","NP_065878.1","MANE Select","Q9P2B7;A0A3B3IRJ5;D6RDU8"
"CFAP97D1","CFAP97 domain containing 1",284067,"HGNC:37241","ENSG00000231256.8","ENST00000449302.8","ENSP00000415662.2","NM_001136483.3","NP_001129955.1","MANE Select","B2RV13"
"CFAP97D2","CFAP97 domain containing 2",101929355,"HGNC:53789","ENSG00000283361.3","ENST00000636692.2","ENSP00000489989.1","NM_001395229.1","NP_001382158.1","MANE Select","A0A1B0GU71;A0A2R8Y7J0;A0A2R8Y7P9;A0A1B0GV50"
"CFB","complement factor B",629,"HGNC:1037","ENSG00000243649.10","ENST00000425368.7","ENSP00000416561.2","NM_001710.6","NP_001701.2","MANE Select","P00751;A0A0G2JH38;F8WBL9"
"CFC1","cripto, FRL-1, cryptic family 1",55997,"HGNC:18292","ENSG00000136698.10","ENST00000259216.6","ENSP00000259216.5","NM_032545.4","NP_115934.1","MANE Select","P0CG37;A0A087WX98;A0A087WWV2"
